n,section,field,content,standards_formats,page,col_name,spark_type
11,Section D - Validity period and order restrictions,Order restriction,"Good For Closing Price Crossing Session: where an order qualifies for the closing price crossing session. Valid For Auction: the order is only active and can only be executed at auction phases (which can be pre-defined by the member or, participant of the trading venue who submitted the order, e.g. opening and/closing auctions and/or intraday auction). Valid For Continuous Trading only: the order is only active during continuous trading. Other: any additional indications that are unique for specific business models, trading platforms or systems.",‘SESR’ – Good For Closing Price Crossing Session ‘VFAR’ – Valid For Auction ‘VFCR’ – Valid For Continuous Trading only {ALPHANUM-4} characters not already in use for the trading venue’s own classification. This field shall be populated with multiple flags separated by a comma where there are multiple types applicable.,6,order_restriction,string
12,Section D - Validity period and order restrictions,Validity period and time,This refers to the time stamp reflecting the time on which the order becomes active or it is ultimately removed from the order book Good for day: the date of entry with the timestamp immediately prior to midnight Good till tim: the date of entry and the time to that specified in the order Good till date: will be the specified date of expiry with the timestamp immediately prior to midnight Good till specified date and time: the specified date and time of expiry Good after time: the date of entry and the specified time at which the order becomes,{DATE_TIME_FORMAT} The number of digits after the ‘seconds’ is determined in accordance with Article 2 of the Commission Delegated Regulation (EU) …/… on clock synchronisation,6,validity_period_and_time,timestamp
13,Section E – Priority and sequence number,Priority time stamp,This field shall be updated every time the priority of an order changes.,{DATE_TIME_FORMAT} The number of digits after the ‘seconds’ is determined in accordance with Article 2 of [RTS on clock synchronisation under Article 50 of Directive 2014/65/EU].,7,priority_time_stamp,timestamp
14,Section E – Priority and sequence number,Priority size,"For trading venues which use size-time priority, this field shall be populated with a positive number corresponding to the quantity. This field shall be updated every time the priority of the order changes.",Up to 20 numeric positive digits.,7,priority_size,string
15,Section E – Priority and sequence number,Sequence number,"Each and every event listed in section G shall be identified using positive integers in ascending order. The sequence number shall be unique to each type of event; consistent across all events, timestamped by the operator of the trading venue; be persistent for the date that the event occurs.",{INTEGER-50},7,sequence_number,string
16,Section F – Identification of the order,Segment MIC code,Identification of the trading venue where the order was submitted. If the trading venue uses segment MICs then the segment MIC shall be used. If the trading venue does not use segment MICs then the operating MIC shall be used,{MIC},7,segment_mic_code,string
17,Section F – Identification of the order,Order book code,The alphanumerical code established by the trading venue for each and every order book.,{ALPHANUM-20},7,order_book_code,string
18,Section F – Identification of the order,Financial instrument identification code,Unique and unambiguous identifier of the financial instrument,{ISIN},7,financial_instrument_identification_code,string
19,Section F – Identification of the order,Date of receipt,Date of receipt of the original order.,{DATEFORMAT},8,date_of_receipt,date
20,Section F – Identification of the order,Order identification code,An alphanumerical code assigned by the operator of the trading venue to the individual order.,{ALPHANUM-50},8,order_identification_code,string
21,Section G – Events affecting the order,"New order, order modification, order cancellation, order rejections, partial or full execution","New order: receipt of a new order by the operator of the trading venue. Triggered: an order which becomes executable or, as the case may be, non- executable upon the realisation of a pre- determined condition. Replaced by the member or participant of the trading venue: where a member, participant or client of the trading venue decides upon its own initiative to change any characteristic of the order it has previously entered into the order book. Replaced by market operations (automatic): where any characteristic of an order is changed by the trading venue operator’s IT systems. This includes where a peg order’s or a trailing stop order’s current characteristics are changed to reflect how the order is located within the order book. Replaced by market operations (human intervention): where any characteristic of an order is changed by a trading venue operator’s staff. This includes the situation where a member, participant of the trading venue has IT issues and needs its orders to be cancelled urgently. Change of status at the initiative of the member, participant of the trading venue. This includes activation and deactivation. Change of status due to market operations. Cancelled at the initiative of the member, participant of the trading venue; where a member, participant or client decides upon its own initiative to cancel the order it has previously entered. Cancelled by market operations. This",‘NEWO’ – New order ‘TRIG’ – Triggered ‘REME’ - Replaced by the member or participant of the trading venue ‘REMA’ - Replaced by market operations (automatic) ‘REMH’ - Replaced by market operations (human intervention) ‘CHME’ - Change of status at the initiative of the member/ participant of the trading venue ‘CHMO’ - Change of status due to market operations ‘CAME’ - Cancelled at the initiative of the member or participant of the trading venue ‘CAMO’ -Cancelled by market,8,new_order_order_modification_order_cancellation_order_rejections_partial_or_full_execution,string
22,Section H – Type of order,Order type,Identifies the type of order submitted to the trading venue as per the trading venue specifications.,{ALPHANUM-50},9,order_type,string
23,Section H – Type of order,Order type classification,Classification of the order according to two generic order types. LIMIT order: in the cases where the order is tradable and STOP order: in the cases where the order becomes tradable only upon the realisation of a pre-determined price event.,The letters “LMTO” for limit or the letters “STOP” for stop.,9,order_type_classification,string
24,Section I – Prices,Limit price,"The maximum price at which a buy order can trade or the minimum price at which a sell order can trade. The spread price for a strategy order. It can be negative or positive. This field shall be left blank in case of orders that do not have a limit price or in case of unpriced orders. In case of a convertible bond, the real price (clean or dirty) used for the order shall be reflected in this field.","{DECIMAL-18/13} in case the price is expressed as monetary value. Where price is reported in monetary terms, it shall be provided in the major currency unit. {DECIMAL-11/10} in case the price is expressed as a percentage or yield. {DECIMAL-18/17} in case the price is expressed as basis points",9,limit_price,"decimal(18,17)"
25,Section I – Prices,Additional limit Price,Any other limit price which may apply to the order. This field shall be left blank if not relevant.,"{DECIMAL-18/13} where the price is expressed as a monetary value. Where the price is reported in monetary terms, it shall be provided in the major currency unit. {DECIMAL-11/10 where the price is",9,additional_limit_price,"decimal(18,13)"
26,Section I – Prices,Stop price,"The price that must be reached for the order to become active. For stop orders triggered by events independent of the price of the financial instrument, this field shall be populated with a stop price equal to zero. This field shall be left blank if not relevant.","{DECIMAL-18/13 where the price is expressed as a monetary value. Where the price is reported in monetary terms, it shall be provided in the major currency unit. {DECIMAL-11/10} in case the price is expressed as a percentage or yield. {DECIMAL-18/17} in case the price is expressed as basis points.",10,stop_price,"decimal(18,17)"
27,Section I – Prices,Pegged limit price,The maximum price at which a pegged order to buy can trade or the minimum price at which a pegged order to sell can trade. This field shall be left blank if not relevant.,"{DECIMAL-18/13} where the price is expressed as a monetary value. Where the price is reported in monetary terms, it shall be provided in the major currency unit. {DECIMAL-11/10} in case the price is expressed as a percentage or yield. {DECIMAL-18/17} in case the price is expressed as basis points",10,pegged_limit_price,"decimal(18,17)"
28,Section I – Prices,Transaction price,"Traded price of the transaction excluding, where applicable, commission and accrued interest. In the case of option contracts, it shall be the premium of the derivative contract per underlying or index point. In the case of spread bets it shall be the reference price of the direct underlying instrument. For credit default swaps (CDS) it shall be the coupon in basis points. Where price reported in monetary terms, it shall be provided in the major currency unit. Where price is not applicable the field shall be populated with the value 'NOAP'.",{DECIMAL-18/13 in case the price is expressed as monetary. {DECIMAL-11/10} in case the price is expressed as percentage or yield {DECIMAL-18/17} in case the price is expressed as basis points ‘NOAP’,10,transaction_price,"decimal(18,17)"
29,Section I – Prices,Price currency,Currency in which the trading price for the financial instrument related to the order is expressed (applicable where the price is expressed as monetary value).,{CURRENCYCODE_3},10,price_currency,string
30,Section I – Prices,Currency of leg 2,"Where there are multi-currency or cross- currency swaps, the currency of leg 2 shall be the currency in which leg 2 of the contract is denominated. For swaptions where the underlying swap is multi-currency, the currency of leg 2 shall be the currency in which leg 2 of the swap is denominated. This field only needs to be filled in where there are interest rates and currency derivatives contracts.",{CURRENCYCODE_3},10,currency_of_leg_2,string
31,Section I – Prices,Price notation,"Indicates whether the price is expressed in monetary value, in percentage, in yield or",‘MONE’ – Monetary value,10,price_notation,string
32,Section J – Order instructions,Buy-sell indicator,"To show if the order is to buy or sell. In case of options and swaptions, the buyer shall be the counterparty that holds the right to exercise the option and the seller shall be the counterparty that sells the option and receives a premium. In case of futures and forwards other than futures and forwards relating to currencies, the buyer shall be the counterparty buying the instrument and the seller the counterparty selling the instrument. In the case of swaps relating to securities, the buyer shall be the counterparty that gets the risk of price movement of the underlying security and receives the security amount. The seller shall be the counterparty paying the security amount. In the case of swaps related to interest rates or inflation indices, the buyer shall be the counterparty paying the fixed rate. The seller shall be the counterparty receiving the fixed rate. In case of basis swaps (float-to-float interest rate swaps), the buyer shall be the counterparty that pays the spread and the seller the counterparty that receives the spread. In the case of swaps and forwards related to currencies and of cross currency swaps, the buyer shall be the counterparty receiving the currency which is first when sorted alphabetically by ISO 4217 standard and the seller shall be the counterparty delivering this currency. In the case of swaps related to dividends, the buyer shall be the counterparty receiving the equivalent actual dividend payments. The seller is the counterparty paying the dividend and receiving the fixed rate. In the case of derivative instruments for the transfer of credit risk except options and swaptions, the buyer shall be the counterparty buying the protection. The seller is the counterparty selling the protection. In case of derivative contracts related to commodities or emission allowances, the buyer shall be the counterparty that receives the commodity or emission allowance specified in the report and the seller the counterparty delivering this commodity or emission allowance. In case of forward rate agreements, the",‘BUYI’ – buy ‘SELL’ – sell,11,buy_sell_indicator,string
33,Section J – Order instructions,Order status,"To identify orders that are active/inactive/suspended, firm/indicative (assigned to quotes only)/implicit/rerouted. Active – non-quote orders that are tradable. Inactive – non-quote orders that are not tradable. Firm/Indicative - Assigned to quotes only. Indicative quotes mean that they are visible but cannot be executed. This includes warrants in some trading venue. Firm quotes can be executed. Implicit – Used for strategy orders that are derived from implied in or implied out functionality. Routed – Used for orders that are routed by the trading venue to other venues.","’ACTI’- active or ’INAC’- inactive or ’FIRM’- firm quotes or ’INDI’- indicative quotes or ’IMPL’- implied strategy orders or ’ROUT’- routed orders. If multiple statuses are applicable, this field shall be populated with multiple flags separated by comma.",12,order_status,string
34,Section J – Order instructions,Quantity notation,"Indicates whether the quantity reported is expressed in number of units, as a nominal value or as a monetary value.",‘UNIT’ - Number of units ‘NOML’ - Nominal value ‘MONE’ - Monetary value,12,quantity_notation,string
35,Section J – Order instructions,Quantity currency,Currency in which the quantity is expressed. Field only needs to be populated where the quantity is expressed as a nominal or monetary value.,{CURRENCYCODE_3},12,quantity_currency,string
36,Section J – Order instructions,Initial quantity,"The number of units of the financial instrument, or the number of derivative contracts in the order. The nominal or monetary value of the financial instrument. For spread bets, the quantity shall be the monetary value wagered per point movement in the underlying financial instrument. For an increase or decrease in notional derivative contracts, the number shall reflect the absolute value of the change and shall be expressed as a positive number. For credit default swaps, the quantity shall be the notional amount for which the",{DECIMAL-18/17} in case the quantity is expressed as number of units {DECIMAL-18/5} in case the quantity is expressed as monetary or nominal value,12,initial_quantity,"decimal(18,17)"
37,Section J – Order instructions,Remaining quantity including hidden,"The total quantity that remains in the order book after a partial execution or in the case of any other event affecting the order. On a partial fill order event, this shall be the total remaining volume after that partial execution. On an order entry this shall equal the initial quantity.",{DECIMAL-18/17} in case the quantity is expressed as a number of units {DECIMAL-18/5} where the quantity is expressed as monetary or nominal value,13,remaining_quantity_including_hidden,"decimal(18,17)"
38,Section J – Order instructions,Displayed quantity,The quantity that is visible (as opposed to hidden) in the order book.,{DECIMAL-18/17} where the quantity is expressed as a number of units {DECIMAL-18/5} where the quantity is expressed as a monetary or nominal value,13,displayed_quantity,"decimal(18,17)"
39,Section J – Order instructions,Traded quantity,"Where there is a partial or full execution, this field shall be populated with the executed quantity.",{DECIMAL-18/17} where the quantity is expressed as a number of units {DECIMAL-18/5} where the quantity is expressed as a monetary or nominal value,13,traded_quantity,"decimal(18,17)"
40,Section J – Order instructions,Minimum Acceptable Quantity (MAQ),The minimum acceptable quantity for an order to be filled which can consist of multiple partial executions and is normally only for non-persistent order types. This field shall be left blank if not relevant.,{DECIMAL-18/17where the quantity is expressed as a number of units {DECIMAL-18/5} where the quantity is expressed as a monetary or nominal value,13,minimum_acceptable_quantity_maq,"decimal(18,5)"
41,Section J – Order instructions,Minimum executable size (MES),The minimum execution size of any individual potential execution. This field shall be left blank if not relevant.,{DECIMAL-18/17} where the quantity is expressed as a number of units {DECIMAL-18/5} where the quantity is expressed as a monetary or nominal value,13,minimum_executable_size_mes,"decimal(18,17)"
42,Section J – Order instructions,MES first execution only,Specifies whether the MES is relevant only for the first execution. This field can be left blank where field 41 is left blank.,'true' 'false',13,mes_first_execution_only,boolean
43,Section J – Order instructions,Passive only indicator,"Indicates if the order is submitted to the trading venue with a characteristic/flag, such that the order shall not immediately execute against any contra visible orders.",'true' 'false',13,passive_only_indicator,boolean
44,Section J – Order instructions,Passive or aggressive indicator,"On partial fill and fill order events, indicates whether the order was already resting on the order book and providing liquidity (passive) or the order initiated the trade and thus took liquidity (aggressive). This field shall be left blank if not relevant.",“PASV” – passive or “AGRE” – aggressive.,13,passive_or_aggressive_indicator,string
45,Section J – Order instructions,Self-Execution Prevention,"Indicates if the order has been entered with self-execution prevention criteria, so that it would not execute with an order on the opposite side of the book entered by the same member or participant.",'true' 'false',13,self_execution_prevention,boolean
46,Section J – Order instructions,Strategy Linked Order identification,The alphanumerical code used to link all connected orders that are part of a strategy pursuant to Article 7(2).,{ALPHANUM-50},13,strategy_linked_order_identification,string
47,Section J – Order instructions,Routing Strategy,The applicable routing strategy as per the trading venue specification. This field shall be left blank if not relevant.,{ALPHANUM-50},14,routing_strategy,string
48,Section J – Order instructions,Trading venue transaction identification code,"Alphanumerical code assigned by the trading venue to the transaction pursuant to Article 12 of Commission Delegated Regulation (EU) on the maintenance of relevant data relating to orders in financial 3 instruments . The trading venue transaction identification code shall be unique, consistent and persistent per ISO10383 segment MIC and per trading day. Where the trading venue does not use segment MICs, the trading venue transaction identification code shall be unique, consistent and persistent per operating MIC per trading day. The components of the transaction identification code shall not disclose the identity of the counterparties to the transaction for which the code is maintained.",{ALPHANUM-52},14,trading_venue_transaction_identification_code,string
49,"Section K – Trading phases, indicative auction price and volume",Trading phases,"The name of each of the different trading phases during which an order is present in the order book including trading halts, circuit breakers and suspensions.",{ALPHANUM-50},14,trading_phases,string
50,"Section K – Trading phases, indicative auction price and volume",Indicative auction price,The price at which each auction is due to uncross in respect to the financial instrument for which one or more orders have been placed.,"{DECIMAL-18/5} in case the price is expressed as monetary or nominal value. Where price reported in monetary terms, it shall be provided in the major currency unit. DECIMAL-11/10} in case the price is expressed as a percentage or yield.",14,indicative_auction_price,"decimal(18,5)"
51,"Section K – Trading phases, indicative auction price and volume",Indicative auction volume,The volume (number of units of the financial instrument) that can be executed at the indicative auction price in field 50 if the auction ended at that precise moment of time.,{DECIMAL-18/17} in case the quantity is expressed as number of units {DECIMAL-18/5} in case the quantity is expressed as monetary or nominal value,14,indicative_auction_volume,"decimal(18,17)"
